0,1024,512,2,0.734198,1.28049,46.4119,
0,1024,256,4,0.728028,1.25464,16.5973,
0,1024,128,8,0.738488,1.24232,6.53822,
0,1024,64,16,0.732208,1.24665,5.3705,
0,1024,32,32,0.735349,1.24804,5.06893,



0,4,1,32,0.03194,0.01919,1.49615,
0,8,1,32,0.03267,0.0187,2.07998,
0,16,1,32,0.033461,0.013241,1.13573,
0,32,1,32,0.03215,0.01383,1.94265,
0,64,2,32,0.03444,0.01526,1.45223,
0,128,4,32,0.046831,0.02193,2.04108,
0,256,8,32,0.089471,0.134701,1.34503,
0,512,16,32,0.263163,0.497876,2.38968,
0,1024,32,32,0.738809,1.27405,5.214,
0,2048,64,32,3.09555,3.40071,30.4566,
0,4096,128,32,11.402,12.392,231.949,
0,8192,256,32,44.2735,47.3445,1824.33,
0,16384,512,32,175.496,185.909,14624,

